1513067032    Linux 3.16.0-4-amd64 (worker1) 	12/12/17 	_x86_64_	(1 CPU) 
1513067033     
1513067033    02:23:52     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle 
1513067268    02:27:48     all   16.67    0.00   15.62    1.04    0.00    2.08    0.00    0.00    0.00   64.58 
1513067269    02:27:49     all   16.84    0.00   15.79    0.00    0.00    3.16    0.00    0.00    0.00   64.21 
1513067270    02:27:50     all   15.96    0.00   14.89    1.06    0.00    2.13    0.00    0.00    0.00   65.96 
1513067271    02:27:51     all   10.75    0.00   18.28    0.00    0.00    2.15    0.00    0.00    0.00   68.82 
1513067272    02:27:52     all   12.50    0.00   14.58    0.00    0.00    2.08    0.00    0.00    0.00   70.83 
1513067273    02:27:53     all   11.46    0.00   19.79    0.00    0.00    2.08    0.00    0.00    0.00   66.67 
1513067274    02:27:54     all   11.58    0.00   21.05    0.00    0.00    2.11    0.00    0.00    0.00   65.26 
1513067275    02:27:55     all   15.46    0.00   15.46    0.00    0.00    2.06    0.00    0.00    0.00   67.01 
1513067276    02:27:56     all   18.00    0.00   20.00    1.00    0.00    2.00    0.00    0.00    0.00   59.00 
1513067277    02:27:57     all   15.31    0.00   20.41    0.00    0.00    1.02    0.00    0.00    0.00   63.27 
1513067278    02:27:58     all   12.63    0.00   21.05    0.00    0.00    3.16    0.00    0.00    0.00   63.16 
1513067279    02:27:59     all   15.79    0.00   16.84    1.05    0.00    1.05    0.00    0.00    0.00   65.26 
